A,B,C,D,E,F,G,H,I,J,K,L
 Private,314209,11, Widowed, Adm-clerical, Not-in-family, Female,0,0,20, Columbia,Yes
 Private,176796,9, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,538583,7, Separated, Transport-moving, Not-in-family, Male,3674,0,40, United-States,Yes
 Private,130408,9, Divorced, Sales, Unmarried, Female,0,0,38, United-States,Yes
 Private,159732,10, Never-married, Adm-clerical, Not-in-family, Male,0,0,42, United-States,Yes
 Private,110978,10, Divorced, Craft-repair, Other-relative, Female,0,0,40, United-States,Yes
 Private,76714,15, Never-married, Prof-specialty, Not-in-family, Male,0,0,55, United-States,No
 State-gov,268700,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,Yes
 State-gov,170525,10, Never-married, Adm-clerical, Not-in-family, Female,0,0,38, United-States,Yes
 Private,180138,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, Iran,No
 Local-gov,115076,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,70, United-States,No
 Private,115458,9, Never-married, Transport-moving, Own-child, Male,0,0,40, United-States,Yes
 Private,347890,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Self-emp-not-inc,196001,9, Married-civ-spouse, Other-service, Wife, Female,0,0,20, United-States,Yes
 State-gov,273905,12, Married-civ-spouse, Protective-serv, Husband, Male,0,0,50, United-States,Yes
 ?,119156,10, Never-married, ?, Own-child, Male,0,0,20, United-States,Yes
 Private,179488,10, Divorced, Craft-repair, Not-in-family, Male,0,1741,40, United-States,Yes
 Private,203580,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,35, ?,Yes
 Private,236596,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,45, United-States,No
 Private,183916,9, Never-married, Other-service, Not-in-family, Female,0,0,34, United-States,Yes
 Private,207578,12, Married-civ-spouse, Tech-support, Husband, Male,0,1977,60, United-States,No
 Private,153141,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, ?,Yes
 Private,112763,15, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,40, United-States,No
 Private,390781,13, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,Yes
 Local-gov,171328,6, Widowed, Other-service, Unmarried, Female,0,0,30, United-States,Yes
 Local-gov,27382,10, Never-married, Adm-clerical, Own-child, Male,0,0,40, United-States,Yes
 Private,259014,10, Never-married, Transport-moving, Not-in-family, Male,0,0,20, United-States,Yes
 Self-emp-not-inc,303044,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, Cambodia,No
 Private,117789,9, Never-married, Other-service, Own-child, Female,0,0,40, United-States,Yes
 Private,172579,9, Separated, Other-service, Not-in-family, Female,0,0,30, United-States,Yes
 Private,187666,11, Widowed, Exec-managerial, Not-in-family, Female,0,0,45, United-States,Yes
 Private,204518,4, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,150042,13, Divorced, Prof-specialty, Own-child, Female,0,0,40, United-States,Yes
 Private,98092,9, Married-civ-spouse, Sales, Husband, Male,0,0,60, United-States,Yes
 Private,245918,7, Never-married, Other-service, Own-child, Male,0,0,12, United-States,Yes
 Private,146013,10, Married-civ-spouse, Sales, Husband, Male,4064,0,40, United-States,Yes
 Private,378322,7, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Self-emp-inc,257295,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,75, Thailand,No
 ?,218956,10, Never-married, ?, Own-child, Male,0,0,24, Canada,Yes
 Private,21174,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,185480,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,45, United-States,Yes
 Private,222205,9, Married-civ-spouse, Craft-repair, Wife, Female,0,0,40, United-States,No
 Private,69867,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,191260,5, Never-married, Other-service, Own-child, Male,1055,0,24, United-States,Yes
 Self-emp-not-inc,30653,14, Married-civ-spouse, Farming-fishing, Husband, Male,2407,0,98, United-States,Yes
 Local-gov,209109,14, Never-married, Prof-specialty, Own-child, Male,0,0,35, United-States,Yes
 Private,70377,9, Divorced, Prof-specialty, Own-child, Female,0,0,40, United-States,Yes
 Private,477983,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,Yes
 Private,170924,10, Married-civ-spouse, Craft-repair, Husband, Male,7298,0,40, United-States,No
 Private,190174,10, Never-married, Exec-managerial, Not-in-family, Female,0,0,40, United-States,Yes
 Private,193787,10, Never-married, Tech-support, Own-child, Female,0,0,40, United-States,Yes
 Private,279472,10, Married-civ-spouse, Machine-op-inspct, Wife, Female,7298,0,48, United-States,No
 Private,34918,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,15, Germany,Yes
 Local-gov,97688,10, Married-civ-spouse, Craft-repair, Husband, Male,5178,0,40, United-States,No
 Private,175413,12, Divorced, Sales, Unmarried, Female,0,0,45, United-States,Yes
 Private,173960,13, Divorced, Prof-specialty, Not-in-family, Female,0,0,42, United-States,Yes
 Private,205759,9, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,Yes
 Federal-gov,425161,14, Married-civ-spouse, Sales, Husband, Male,15024,0,40, United-States,No
 Private,220531,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,No
 Private,176609,10, Divorced, Other-service, Not-in-family, Male,0,0,45, United-States,Yes
 Private,371987,13, Never-married, Exec-managerial, Not-in-family, Female,0,0,40, United-States,Yes
 Private,193884,4, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, Ecuador,Yes
 Private,200352,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,45, United-States,Yes
 Private,127595,9, Divorced, Prof-specialty, Not-in-family, Female,0,0,40, United-States,Yes
 Local-gov,220419,13, Never-married, Protective-serv, Not-in-family, Male,0,0,56, United-States,Yes
 Private,231931,10, Never-married, Sales, Own-child, Male,0,0,45, United-States,Yes
 Private,248402,13, Never-married, Tech-support, Unmarried, Female,0,0,40, United-States,Yes
 Private,111095,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,16, United-States,Yes
 Self-emp-inc,57424,13, Divorced, Sales, Not-in-family, Female,0,0,60, United-States,Yes
 ?,157443,14, Married-civ-spouse, ?, Wife, Female,3464,0,40, ?,Yes
 Private,278130,9, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,Yes
 Private,169469,9, Divorced, Sales, Not-in-family, Male,0,0,80, United-States,Yes
 Private,146268,13, Married-civ-spouse, Adm-clerical, Husband, Male,7688,0,40, United-States,No
